"Bedrijfstakken/branches (SBI 2008)","Perioden","Regio's","Oprichtingen van vestigingen (aantal)"
"02 Bosbouw","2019","Utrecht (PV)","5"
"02 Bosbouw","2020","Utrecht (PV)","0"
"02 Bosbouw","2021","Utrecht (PV)","0"
"02 Bosbouw","2022**","Utrecht (PV)","0"
"02 Bosbouw","2023*","Utrecht (PV)","0"
"02 Bosbouw","2017","Noord-Holland (PV)","5"
"02 Bosbouw","2018","Noord-Holland (PV)","0"
"02 Bosbouw","2019","Noord-Holland (PV)","0"
"02 Bosbouw","2020","Noord-Holland (PV)","0"
"02 Bosbouw","2021","Noord-Holland (PV)","0"
"02 Bosbouw","2022**","Noord-Holland (PV)","5"
"02 Bosbouw","2023*","Noord-Holland (PV)","0"
"02 Bosbouw","2017","Zuid-Holland (PV)","0"
"02 Bosbouw","2018","Zuid-Holland (PV)","0"
"02 Bosbouw","2019","Zuid-Holland (PV)","0"
"02 Bosbouw","2020","Zuid-Holland (PV)","5"
"02 Bosbouw","2021","Zuid-Holland (PV)","5"
"02 Bosbouw","2022**","Zuid-Holland (PV)","5"
"02 Bosbouw","2023*","Zuid-Holland (PV)","0"
"02 Bosbouw","2017","Zeeland (PV)","0"
"02 Bosbouw","2018","Zeeland (PV)","0"
"02 Bosbouw","2019","Zeeland (PV)","0"
"02 Bosbouw","2020","Zeeland (PV)","0"
"02 Bosbouw","2021","Zeeland (PV)","0"
"02 Bosbouw","2022**","Zeeland (PV)","0"
"02 Bosbouw","2023*","Zeeland (PV)","0"
"02 Bosbouw","2017","Noord-Brabant (PV)","5"
"02 Bosbouw","2018","Noord-Brabant (PV)","5"
"02 Bosbouw","2019","Noord-Brabant (PV)","5"
"02 Bosbouw","2020","Noord-Brabant (PV)","5"
"02 Bosbouw","2021","Noord-Brabant (PV)","5"
"02 Bosbouw","2022**","Noord-Brabant (PV)","0"
"02 Bosbouw","2023*","Noord-Brabant (PV)","5"
"02 Bosbouw","2017","Limburg (PV)","0"
"02 Bosbouw","2018","Limburg (PV)","0"
"02 Bosbouw","2019","Limburg (PV)","5"
"02 Bosbouw","2020","Limburg (PV)","0"
"02 Bosbouw","2021","Limburg (PV)","0"
"02 Bosbouw","2022**","Limburg (PV)","0"
"02 Bosbouw","2023*","Limburg (PV)","5"
"02 Bosbouw","2017","Niet in te delen (PV)","0"
"02 Bosbouw","2018","Niet in te delen (PV)","0"
"02 Bosbouw","2019","Niet in te delen (PV)","0"
"02 Bosbouw","2020","Niet in te delen (PV)","0"
"02 Bosbouw","2021","Niet in te delen (PV)","0"
"02 Bosbouw","2022**","Niet in te delen (PV)","0"
"02 Bosbouw","2023*","Niet in te delen (PV)","0"
"03 Visserij","2017","Nederland","55"
"03 Visserij","2018","Nederland","45"
"03 Visserij","2019","Nederland","45"
"03 Visserij","2020","Nederland","40"
"03 Visserij","2021","Nederland","40"
"03 Visserij","2022**","Nederland","40"
"03 Visserij","2023*","Nederland","20"
"03 Visserij","2017","Groningen (PV)","5"
"03 Visserij","2018","Groningen (PV)","0"
"03 Visserij","2019","Groningen (PV)","0"
"03 Visserij","2020","Groningen (PV)","5"
"03 Visserij","2021","Groningen (PV)","0"
"03 Visserij","2022**","Groningen (PV)","0"
"03 Visserij","2023*","Groningen (PV)","0"
"03 Visserij","2017","Fryslân (PV)","10"
"03 Visserij","2018","Fryslân (PV)","5"
"03 Visserij","2019","Fryslân (PV)","5"
"03 Visserij","2020","Fryslân (PV)","5"
"03 Visserij","2021","Fryslân (PV)","5"
"03 Visserij","2022**","Fryslân (PV)","0"
"03 Visserij","2023*","Fryslân (PV)","5"
"03 Visserij","2017","Drenthe (PV)","0"
"03 Visserij","2018","Drenthe (PV)","0"
"03 Visserij","2019","Drenthe (PV)","0"
"03 Visserij","2020","Drenthe (PV)","0"
"03 Visserij","2021","Drenthe (PV)","0"
"03 Visserij","2022**","Drenthe (PV)","0"
"03 Visserij","2023*","Drenthe (PV)","0"
"03 Visserij","2017","Overijssel (PV)","0"
"03 Visserij","2018","Overijssel (PV)","0"
"03 Visserij","2019","Overijssel (PV)","0"
"03 Visserij","2020","Overijssel (PV)","0"
"03 Visserij","2021","Overijssel (PV)","0"
"03 Visserij","2022**","Overijssel (PV)","0"
"03 Visserij","2023*","Overijssel (PV)","0"
"03 Visserij","2017","Flevoland (PV)","10"
"03 Visserij","2018","Flevoland (PV)","5"
"03 Visserij","2019","Flevoland (PV)","5"
"03 Visserij","2020","Flevoland (PV)","5"
"03 Visserij","2021","Flevoland (PV)","0"
"03 Visserij","2022**","Flevoland (PV)","5"
"03 Visserij","2023*","Flevoland (PV)","0"
"03 Visserij","2017","Gelderland (PV)","5"
"03 Visserij","2018","Gelderland (PV)","0"
"03 Visserij","2019","Gelderland (PV)","0"
"03 Visserij","2020","Gelderland (PV)","0"
"03 Visserij","2021","Gelderland (PV)","0"
"03 Visserij","2022**","Gelderland (PV)","0"
"03 Visserij","2023*","Gelderland (PV)","0"
"03 Visserij","2017","Utrecht (PV)","0"
"03 Visserij","2018","Utrecht (PV)","0"
"03 Visserij","2019","Utrecht (PV)","0"
"03 Visserij","2020","Utrecht (PV)","0"
"03 Visserij","2021","Utrecht (PV)","0"
"03 Visserij","2022**","Utrecht (PV)","0"
"03 Visserij","2023*","Utrecht (PV)","0"
"03 Visserij","2017","Noord-Holland (PV)","10"
"03 Visserij","2018","Noord-Holland (PV)","10"
"03 Visserij","2019","Noord-Holland (PV)","10"
"03 Visserij","2020","Noord-Holland (PV)","5"
"03 Visserij","2021","Noord-Holland (PV)","10"
"03 Visserij","2022**","Noord-Holland (PV)","10"
"03 Visserij","2023*","Noord-Holland (PV)","5"
"03 Visserij","2017","Zuid-Holland (PV)","5"
"03 Visserij","2018","Zuid-Holland (PV)","10"
"03 Visserij","2019","Zuid-Holland (PV)","10"
"03 Visserij","2020","Zuid-Holland (PV)","0"
"03 Visserij","2021","Zuid-Holland (PV)","5"
"03 Visserij","2022**","Zuid-Holland (PV)","0"
"03 Visserij","2023*","Zuid-Holland (PV)","5"
"03 Visserij","2017","Zeeland (PV)","10"
"03 Visserij","2018","Zeeland (PV)","10"
"03 Visserij","2019","Zeeland (PV)","10"
"03 Visserij","2020","Zeeland (PV)","15"
"03 Visserij","2021","Zeeland (PV)","10"
"03 Visserij","2022**","Zeeland (PV)","15"
"03 Visserij","2023*","Zeeland (PV)","0"
"03 Visserij","2017","Noord-Brabant (PV)","0"
"03 Visserij","2018","Noord-Brabant (PV)","0"
"03 Visserij","2019","Noord-Brabant (PV)","0"
"03 Visserij","2020","Noord-Brabant (PV)","0"
"03 Visserij","2021","Noord-Brabant (PV)","0"
"03 Visserij","2022**","Noord-Brabant (PV)","5"
"03 Visserij","2023*","Noord-Brabant (PV)","0"
"03 Visserij","2017","Limburg (PV)","0"
"03 Visserij","2018","Limburg (PV)","0"
"03 Visserij","2019","Limburg (PV)","0"
"03 Visserij","2020","Limburg (PV)","0"
"03 Visserij","2021","Limburg (PV)","5"
"03 Visserij","2022**","Limburg (PV)","0"
"03 Visserij","2023*","Limburg (PV)","0"
"03 Visserij","2017","Niet in te delen (PV)","0"
"03 Visserij","2018","Niet in te delen (PV)","0"
"03 Visserij","2019","Niet in te delen (PV)","0"
"03 Visserij","2020","Niet in te delen (PV)","0"
"03 Visserij","2021","Niet in te delen (PV)","0"
"03 Visserij","2022**","Niet in te delen (PV)","0"
"03 Visserij","2023*","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2017","Nederland","55"
"B Delfstoffenwinning","2018","Nederland","65"
"B Delfstoffenwinning","2019","Nederland","80"
"B Delfstoffenwinning","2020","Nederland","85"
"B Delfstoffenwinning","2021","Nederland","65"
"B Delfstoffenwinning","2022**","Nederland","85"
"B Delfstoffenwinning","2023*","Nederland","75"
"B Delfstoffenwinning","2017","Groningen (PV)","0"
"B Delfstoffenwinning","2018","Groningen (PV)","5"
"B Delfstoffenwinning","2019","Groningen (PV)","0"
"B Delfstoffenwinning","2020","Groningen (PV)","5"
"B Delfstoffenwinning","2021","Groningen (PV)","5"
"B Delfstoffenwinning","2022**","Groningen (PV)","5"
"B Delfstoffenwinning","2023*","Groningen (PV)","0"
"B Delfstoffenwinning","2017","Fryslân (PV)","5"
"B Delfstoffenwinning","2018","Fryslân (PV)","0"
"B Delfstoffenwinning","2019","Fryslân (PV)","5"
"B Delfstoffenwinning","2020","Fryslân (PV)","0"
"B Delfstoffenwinning","2021","Fryslân (PV)","0"
"B Delfstoffenwinning","2022**","Fryslân (PV)","0"
"B Delfstoffenwinning","2023*","Fryslân (PV)","0"
"B Delfstoffenwinning","2017","Drenthe (PV)","10"
"B Delfstoffenwinning","2018","Drenthe (PV)","5"
"B Delfstoffenwinning","2019","Drenthe (PV)","5"
"B Delfstoffenwinning","2020","Drenthe (PV)","5"
"B Delfstoffenwinning","2021","Drenthe (PV)","5"
"B Delfstoffenwinning","2022**","Drenthe (PV)","5"
"B Delfstoffenwinning","2023*","Drenthe (PV)","5"
"B Delfstoffenwinning","2017","Overijssel (PV)","0"
"B Delfstoffenwinning","2018","Overijssel (PV)","0"
"B Delfstoffenwinning","2019","Overijssel (PV)","5"
"B Delfstoffenwinning","2020","Overijssel (PV)","5"
"B Delfstoffenwinning","2021","Overijssel (PV)","5"
"B Delfstoffenwinning","2022**","Overijssel (PV)","0"
"B Delfstoffenwinning","2023*","Overijssel (PV)","0"
"B Delfstoffenwinning","2017","Flevoland (PV)","0"
"B Delfstoffenwinning","2018","Flevoland (PV)","0"
"B Delfstoffenwinning","2019","Flevoland (PV)","0"
"B Delfstoffenwinning","2020","Flevoland (PV)","0"
"B Delfstoffenwinning","2021","Flevoland (PV)","0"
"B Delfstoffenwinning","2022**","Flevoland (PV)","0"
"B Delfstoffenwinning","2023*","Flevoland (PV)","0"
"B Delfstoffenwinning","2017","Gelderland (PV)","0"
"B Delfstoffenwinning","2018","Gelderland (PV)","5"
"B Delfstoffenwinning","2019","Gelderland (PV)","5"
"B Delfstoffenwinning","2020","Gelderland (PV)","5"
"B Delfstoffenwinning","2021","Gelderland (PV)","0"
"B Delfstoffenwinning","2022**","Gelderland (PV)","0"
"B Delfstoffenwinning","2023*","Gelderland (PV)","5"
"B Delfstoffenwinning","2017","Utrecht (PV)","0"
"B Delfstoffenwinning","2018","Utrecht (PV)","0"
"B Delfstoffenwinning","2019","Utrecht (PV)","0"
"B Delfstoffenwinning","2020","Utrecht (PV)","0"
"B Delfstoffenwinning","2021","Utrecht (PV)","0"
"B Delfstoffenwinning","2022**","Utrecht (PV)","0"
"B Delfstoffenwinning","2023*","Utrecht (PV)","0"
"B Delfstoffenwinning","2017","Noord-Holland (PV)","15"
"B Delfstoffenwinning","2018","Noord-Holland (PV)","15"
"B Delfstoffenwinning","2019","Noord-Holland (PV)","10"
"B Delfstoffenwinning","2020","Noord-Holland (PV)","10"
"B Delfstoffenwinning","2021","Noord-Holland (PV)","10"
"B Delfstoffenwinning","2022**","Noord-Holland (PV)","15"
"B Delfstoffenwinning","2023*","Noord-Holland (PV)","15"
"B Delfstoffenwinning","2017","Zuid-Holland (PV)","15"
"B Delfstoffenwinning","2018","Zuid-Holland (PV)","30"
"B Delfstoffenwinning","2019","Zuid-Holland (PV)","40"
"B Delfstoffenwinning","2020","Zuid-Holland (PV)","55"
"B Delfstoffenwinning","2021","Zuid-Holland (PV)","35"
"B Delfstoffenwinning","2022**","Zuid-Holland (PV)","55"
"B Delfstoffenwinning","2023*","Zuid-Holland (PV)","40"
"B Delfstoffenwinning","2017","Zeeland (PV)","0"
"B Delfstoffenwinning","2018","Zeeland (PV)","0"
"B Delfstoffenwinning","2019","Zeeland (PV)","0"
"B Delfstoffenwinning","2020","Zeeland (PV)","0"
"B Delfstoffenwinning","2021","Zeeland (PV)","0"
"B Delfstoffenwinning","2022**","Zeeland (PV)","0"
"B Delfstoffenwinning","2023*","Zeeland (PV)","0"
"B Delfstoffenwinning","2017","Noord-Brabant (PV)","0"
"B Delfstoffenwinning","2018","Noord-Brabant (PV)","5"
"B Delfstoffenwinning","2019","Noord-Brabant (PV)","5"
"B Delfstoffenwinning","2020","Noord-Brabant (PV)","5"
"B Delfstoffenwinning","2021","Noord-Brabant (PV)","5"
"B Delfstoffenwinning","2022**","Noord-Brabant (PV)","0"
"B Delfstoffenwinning","2023*","Noord-Brabant (PV)","5"
"B Delfstoffenwinning","2017","Limburg (PV)","0"
"B Delfstoffenwinning","2018","Limburg (PV)","0"
"B Delfstoffenwinning","2019","Limburg (PV)","5"
"B Delfstoffenwinning","2020","Limburg (PV)","0"
"B Delfstoffenwinning","2021","Limburg (PV)","0"
"B Delfstoffenwinning","2022**","Limburg (PV)","0"
"B Delfstoffenwinning","2023*","Limburg (PV)","0"
"B Delfstoffenwinning","2017","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2018","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2019","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2020","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2021","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2022**","Niet in te delen (PV)","0"
"B Delfstoffenwinning","2023*","Niet in te delen (PV)","0"
"B-E Nijverheid (geen bouw) en energie","2017","Nederland","5.485"
"B-E Nijverheid (geen bouw) en energie","2018","Nederland","6.075"
"B-E Nijverheid (geen bouw) en energie","2019","Nederland","6.820"
"B-E Nijverheid (geen bouw) en energie","2020","Nederland","6.610"
"B-E Nijverheid (geen bouw) en energie","2021","Nederland","8.155"
"B-E Nijverheid (geen bouw) en energie","2022**","Nederland","7.370"
"B-E Nijverheid (geen bouw) en energie","2023*","Nederland","7.465"
"B-E Nijverheid (geen bouw) en energie","2017","Groningen (PV)","150"
"B-E Nijverheid (geen bouw) en energie","2018","Groningen (PV)","165"
"B-E Nijverheid (geen bouw) en energie","2019","Groningen (PV)","170"
"B-E Nijverheid (geen bouw) en energie","2020","Groningen (PV)","185"
"B-E Nijverheid (geen bouw) en energie","2021","Groningen (PV)","250"
"B-E Nijverheid (geen bouw) en energie","2022**","Groningen (PV)","195"
"B-E Nijverheid (geen bouw) en energie","2023*","Groningen (PV)","220"
"B-E Nijverheid (geen bouw) en energie","2017","Fryslân (PV)","265"
"B-E Nijverheid (geen bouw) en energie","2018","Fryslân (PV)","285"
"B-E Nijverheid (geen bouw) en energie","2019","Fryslân (PV)","300"
"B-E Nijverheid (geen bouw) en energie","2020","Fryslân (PV)","275"
"B-E Nijverheid (geen bouw) en energie","2021","Fryslân (PV)","355"
"B-E Nijverheid (geen bouw) en energie","2022**","Fryslân (PV)","350"
"B-E Nijverheid (geen bouw) en energie","2023*","Fryslân (PV)","290"
"B-E Nijverheid (geen bouw) en energie","2017","Drenthe (PV)","130"
"B-E Nijverheid (geen bouw) en energie","2018","Drenthe (PV)","140"
"B-E Nijverheid (geen bouw) en energie","2019","Drenthe (PV)","145"
"B-E Nijverheid (geen bouw) en energie","2020","Drenthe (PV)","165"
"B-E Nijverheid (geen bouw) en energie","2021","Drenthe (PV)","190"
"B-E Nijverheid (geen bouw) en energie","2022**","Drenthe (PV)","160"
"B-E Nijverheid (geen bouw) en energie","2023*","Drenthe (PV)","200"
"B-E Nijverheid (geen bouw) en energie","2017","Overijssel (PV)","350"
"B-E Nijverheid (geen bouw) en energie","2018","Overijssel (PV)","375"
"B-E Nijverheid (geen bouw) en energie","2019","Overijssel (PV)","390"
"B-E Nijverheid (geen bouw) en energie","2020","Overijssel (PV)","460"
"B-E Nijverheid (geen bouw) en energie","2021","Overijssel (PV)","525"
"B-E Nijverheid (geen bouw) en energie","2022**","Overijssel (PV)","475"
"B-E Nijverheid (geen bouw) en energie","2023*","Overijssel (PV)","460"
"B-E Nijverheid (geen bouw) en energie","2017","Flevoland (PV)","155"
"B-E Nijverheid (geen bouw) en energie","2018","Flevoland (PV)","160"
"B-E Nijverheid (geen bouw) en energie","2019","Flevoland (PV)","210"
"B-E Nijverheid (geen bouw) en energie","2020","Flevoland (PV)","195"
"B-E Nijverheid (geen bouw) en energie","2021","Flevoland (PV)","220"
"B-E Nijverheid (geen bouw) en energie","2022**","Flevoland (PV)","190"
"B-E Nijverheid (geen bouw) en energie","2023*","Flevoland (PV)","235"
"B-E Nijverheid (geen bouw) en energie","2017","Gelderland (PV)","600"
"B-E Nijverheid (geen bouw) en energie","2018","Gelderland (PV)","700"
"B-E Nijverheid (geen bouw) en energie","2019","Gelderland (PV)","745"
"B-E Nijverheid (geen bouw) en energie","2020","Gelderland (PV)","720"
"B-E Nijverheid (geen bouw) en energie","2021","Gelderland (PV)","1.025"
"B-E Nijverheid (geen bouw) en energie","2022**","Gelderland (PV)","855"
"B-E Nijverheid (geen bouw) en energie","2023*","Gelderland (PV)","895"
"B-E Nijverheid (geen bouw) en energie","2017","Utrecht (PV)","370"
"B-E Nijverheid (geen bouw) en energie","2018","Utrecht (PV)","365"
"B-E Nijverheid (geen bouw) en energie","2019","Utrecht (PV)","425"
"B-E Nijverheid (geen bouw) en energie","2020","Utrecht (PV)","400"
"B-E Nijverheid (geen bouw) en energie","2021","Utrecht (PV)","520"
"B-E Nijverheid (geen bouw) en energie","2022**","Utrecht (PV)","485"
"B-E Nijverheid (geen bouw) en energie","2023*","Utrecht (PV)","480"
"B-E Nijverheid (geen bouw) en energie","2017","Noord-Holland (PV)","950"
"B-E Nijverheid (geen bouw) en energie","2018","Noord-Holland (PV)","1.055"
"B-E Nijverheid (geen bouw) en energie","2019","Noord-Holland (PV)","1.215"
"B-E Nijverheid (geen bouw) en energie","2020","Noord-Holland (PV)","1.095"
"B-E Nijverheid (geen bouw) en energie","2021","Noord-Holland (PV)","1.425"
"B-E Nijverheid (geen bouw) en energie","2022**","Noord-Holland (PV)","1.210"
"B-E Nijverheid (geen bouw) en energie","2023*","Noord-Holland (PV)","1.255"
"B-E Nijverheid (geen bouw) en energie","2017","Zuid-Holland (PV)","1.155"
"B-E Nijverheid (geen bouw) en energie","2018","Zuid-Holland (PV)","1.400"
"B-E Nijverheid (geen bouw) en energie","2019","Zuid-Holland (PV)","1.510"
"B-E Nijverheid (geen bouw) en energie","2020","Zuid-Holland (PV)","1.490"
"B-E Nijverheid (geen bouw) en energie","2021","Zuid-Holland (PV)","1.650"
"B-E Nijverheid (geen bouw) en energie","2022**","Zuid-Holland (PV)","1.665"
"B-E Nijverheid (geen bouw) en energie","2023*","Zuid-Holland (PV)","1.650"
"B-E Nijverheid (geen bouw) en energie","2017","Zeeland (PV)","155"
"B-E Nijverheid (geen bouw) en energie","2018","Zeeland (PV)","185"
"B-E Nijverheid (geen bouw) en energie","2019","Zeeland (PV)","200"
"B-E Nijverheid (geen bouw) en energie","2020","Zeeland (PV)","190"
"B-E Nijverheid (geen bouw) en energie","2021","Zeeland (PV)","225"
"B-E Nijverheid (geen bouw) en energie","2022**","Zeeland (PV)","205"
"B-E Nijverheid (geen bouw) en energie","2023*","Zeeland (PV)","205"
"B-E Nijverheid (geen bouw) en energie","2017","Noord-Brabant (PV)","905"
"B-E Nijverheid (geen bouw) en energie","2018","Noord-Brabant (PV)","960"
"B-E Nijverheid (geen bouw) en energie","2019","Noord-Brabant (PV)","1.150"
"B-E Nijverheid (geen bouw) en energie","2020","Noord-Brabant (PV)","1.075"
"B-E Nijverheid (geen bouw) en energie","2021","Noord-Brabant (PV)","1.350"
"B-E Nijverheid (geen bouw) en energie","2022**","Noord-Brabant (PV)","1.195"
"B-E Nijverheid (geen bouw) en energie","2023*","Noord-Brabant (PV)","1.170"
"B-E Nijverheid (geen bouw) en energie","2017","Limburg (PV)","295"
"B-E Nijverheid (geen bouw) en energie","2018","Limburg (PV)","285"
"B-E Nijverheid (geen bouw) en energie","2019","Limburg (PV)","360"
"B-E Nijverheid (geen bouw) en energie","2020","Limburg (PV)","360"
"B-E Nijverheid (geen bouw) en energie","2021","Limburg (PV)","425"
"B-E Nijverheid (geen bouw) en energie","2022**","Limburg (PV)","380"
"B-E Nijverheid (geen bouw) en energie","2023*","Limburg (PV)","405"
"B-E Nijverheid (geen bouw) en energie","2017","Niet in te delen (PV)","5"
"B-E Nijverheid (geen bouw) en energie","2018","Niet in te delen (PV)","15"
"B-E Nijverheid (geen bouw) en energie","2019","Niet in te delen (PV)","0"
"B-E Nijverheid (geen bouw) en energie","2020","Niet in te delen (PV)","0"
"B-E Nijverheid (geen bouw) en energie","2021","Niet in te delen (PV)","10"
"B-E Nijverheid (geen bouw) en energie","2022**","Niet in te delen (PV)","0"
"B-E Nijverheid (geen bouw) en energie","2023*","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2017","Nederland","0"
"06 Winning van aardolie en aardgas","2018","Nederland","0"
"06 Winning van aardolie en aardgas","2019","Nederland","0"
"06 Winning van aardolie en aardgas","2020","Nederland","0"
"06 Winning van aardolie en aardgas","2021","Nederland","0"
"06 Winning van aardolie en aardgas","2022**","Nederland","0"
"06 Winning van aardolie en aardgas","2023*","Nederland","0"
"06 Winning van aardolie en aardgas","2017","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2018","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2019","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2020","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2021","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Groningen (PV)","0"
"06 Winning van aardolie en aardgas","2017","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2018","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2019","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2020","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2021","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Fryslân (PV)","0"
"06 Winning van aardolie en aardgas","2017","Drenthe (PV)","0"
