"Bedrijfstakken/branches (SBI 2008)","Perioden","Regio's","Oprichtingen van vestigingen (aantal)"
"06 Winning van aardolie en aardgas","2018","Drenthe (PV)","0"
"06 Winning van aardolie en aardgas","2019","Drenthe (PV)","0"
"06 Winning van aardolie en aardgas","2020","Drenthe (PV)","0"
"06 Winning van aardolie en aardgas","2021","Drenthe (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Drenthe (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Drenthe (PV)","0"
"06 Winning van aardolie en aardgas","2017","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2018","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2019","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2020","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2021","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Overijssel (PV)","0"
"06 Winning van aardolie en aardgas","2017","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2018","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2019","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2020","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2021","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Flevoland (PV)","0"
"06 Winning van aardolie en aardgas","2017","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2018","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2019","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2020","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2021","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Gelderland (PV)","0"
"06 Winning van aardolie en aardgas","2017","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2018","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2019","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2020","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2021","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Utrecht (PV)","0"
"06 Winning van aardolie en aardgas","2017","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2018","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2019","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2020","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2021","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Noord-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2017","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2018","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2019","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2020","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2021","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Zuid-Holland (PV)","0"
"06 Winning van aardolie en aardgas","2017","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2018","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2019","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2020","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2021","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Zeeland (PV)","0"
"06 Winning van aardolie en aardgas","2017","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2018","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2019","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2020","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2021","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Noord-Brabant (PV)","0"
"06 Winning van aardolie en aardgas","2017","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2018","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2019","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2020","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2021","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Limburg (PV)","0"
"06 Winning van aardolie en aardgas","2017","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2018","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2019","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2020","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2021","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2022**","Niet in te delen (PV)","0"
"06 Winning van aardolie en aardgas","2023*","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Nederland","5"
"08 Delfstoffenwinning (geen olie en gas)","2018","Nederland","5"
"08 Delfstoffenwinning (geen olie en gas)","2019","Nederland","5"
"08 Delfstoffenwinning (geen olie en gas)","2020","Nederland","5"
"08 Delfstoffenwinning (geen olie en gas)","2021","Nederland","10"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Nederland","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Nederland","5"
"08 Delfstoffenwinning (geen olie en gas)","2017","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Groningen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Fryslân (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Drenthe (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Overijssel (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Flevoland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Gelderland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Utrecht (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Noord-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Noord-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Noord-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Noord-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Noord-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Noord-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Noord-Holland (PV)","5"
"08 Delfstoffenwinning (geen olie en gas)","2017","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Zuid-Holland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Zeeland (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Noord-Brabant (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Limburg (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2017","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2018","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2019","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2020","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2021","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2022**","Niet in te delen (PV)","0"
"08 Delfstoffenwinning (geen olie en gas)","2023*","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Nederland","50"
"09 Dienstverlening delfstoffenwinning","2018","Nederland","60"
"09 Dienstverlening delfstoffenwinning","2019","Nederland","75"
"09 Dienstverlening delfstoffenwinning","2020","Nederland","80"
"09 Dienstverlening delfstoffenwinning","2021","Nederland","55"
"09 Dienstverlening delfstoffenwinning","2022**","Nederland","80"
"09 Dienstverlening delfstoffenwinning","2023*","Nederland","65"
"09 Dienstverlening delfstoffenwinning","2017","Groningen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Groningen (PV)","5"
"09 Dienstverlening delfstoffenwinning","2019","Groningen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2020","Groningen (PV)","5"
"09 Dienstverlening delfstoffenwinning","2021","Groningen (PV)","5"
"09 Dienstverlening delfstoffenwinning","2022**","Groningen (PV)","5"
"09 Dienstverlening delfstoffenwinning","2023*","Groningen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Fryslân (PV)","5"
"09 Dienstverlening delfstoffenwinning","2018","Fryslân (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Fryslân (PV)","5"
"09 Dienstverlening delfstoffenwinning","2020","Fryslân (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Fryslân (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Fryslân (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Fryslân (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2018","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2019","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2020","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2021","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2022**","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2023*","Drenthe (PV)","5"
"09 Dienstverlening delfstoffenwinning","2017","Overijssel (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Overijssel (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Overijssel (PV)","5"
"09 Dienstverlening delfstoffenwinning","2020","Overijssel (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Overijssel (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Overijssel (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Overijssel (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2020","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Flevoland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Gelderland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Gelderland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Gelderland (PV)","5"
"09 Dienstverlening delfstoffenwinning","2020","Gelderland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Gelderland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Gelderland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Gelderland (PV)","5"
"09 Dienstverlening delfstoffenwinning","2017","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2020","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Utrecht (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Noord-Holland (PV)","15"
"09 Dienstverlening delfstoffenwinning","2018","Noord-Holland (PV)","15"
"09 Dienstverlening delfstoffenwinning","2019","Noord-Holland (PV)","10"
"09 Dienstverlening delfstoffenwinning","2020","Noord-Holland (PV)","10"
"09 Dienstverlening delfstoffenwinning","2021","Noord-Holland (PV)","10"
"09 Dienstverlening delfstoffenwinning","2022**","Noord-Holland (PV)","15"
"09 Dienstverlening delfstoffenwinning","2023*","Noord-Holland (PV)","10"
"09 Dienstverlening delfstoffenwinning","2017","Zuid-Holland (PV)","15"
"09 Dienstverlening delfstoffenwinning","2018","Zuid-Holland (PV)","30"
"09 Dienstverlening delfstoffenwinning","2019","Zuid-Holland (PV)","40"
"09 Dienstverlening delfstoffenwinning","2020","Zuid-Holland (PV)","55"
"09 Dienstverlening delfstoffenwinning","2021","Zuid-Holland (PV)","35"
"09 Dienstverlening delfstoffenwinning","2022**","Zuid-Holland (PV)","50"
"09 Dienstverlening delfstoffenwinning","2023*","Zuid-Holland (PV)","40"
"09 Dienstverlening delfstoffenwinning","2017","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2020","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Zeeland (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Noord-Brabant (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Noord-Brabant (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Noord-Brabant (PV)","5"
"09 Dienstverlening delfstoffenwinning","2020","Noord-Brabant (PV)","5"
"09 Dienstverlening delfstoffenwinning","2021","Noord-Brabant (PV)","5"
"09 Dienstverlening delfstoffenwinning","2022**","Noord-Brabant (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Noord-Brabant (PV)","5"
"09 Dienstverlening delfstoffenwinning","2017","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2020","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Limburg (PV)","0"
"09 Dienstverlening delfstoffenwinning","2017","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2018","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2019","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2020","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2021","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2022**","Niet in te delen (PV)","0"
"09 Dienstverlening delfstoffenwinning","2023*","Niet in te delen (PV)","0"
"C Industrie","2017","Nederland","5.080"
"C Industrie","2018","Nederland","5.500"
"C Industrie","2019","Nederland","6.185"
"C Industrie","2020","Nederland","6.130"
"C Industrie","2021","Nederland","7.715"
"C Industrie","2022**","Nederland","6.905"
"C Industrie","2023*","Nederland","7.025"
"C Industrie","2017","Groningen (PV)","135"
"C Industrie","2018","Groningen (PV)","140"
"C Industrie","2019","Groningen (PV)","155"
"C Industrie","2020","Groningen (PV)","165"
"C Industrie","2021","Groningen (PV)","225"
"C Industrie","2022**","Groningen (PV)","170"
"C Industrie","2023*","Groningen (PV)","210"
"C Industrie","2017","Fryslân (PV)","250"
"C Industrie","2018","Fryslân (PV)","270"
"C Industrie","2019","Fryslân (PV)","275"
"C Industrie","2020","Fryslân (PV)","245"
"C Industrie","2021","Fryslân (PV)","335"
"C Industrie","2022**","Fryslân (PV)","335"
"Bron: CBS."